date,macd,signal,histogram
2021-08-09 00:30:00,0,0,0
2021-08-09 00:45:00,0,0,0
2021-08-09 01:00:00,0,0,0
2021-08-09 01:15:00,0,0,0
2021-08-09 01:30:00,0,0,0
2021-08-09 01:45:00,0,0,0
2021-08-09 02:00:00,0,0,0
2021-08-09 02:15:00,0,0,0
2021-08-09 02:30:00,0,0,0
2021-08-09 02:45:00,0,0,0
2021-08-09 03:00:00,0,0,0
2021-08-09 03:15:00,0,0,0
2021-08-09 03:30:00,0,0,0
2021-08-09 03:45:00,0,0,0
2021-08-09 04:00:00,0,0,0
2021-08-09 04:15:00,0,0,0
2021-08-09 04:30:00,0,0,0
2021-08-09 04:45:00,0,0,0
2021-08-09 05:00:00,0,0,0
2021-08-09 05:15:00,0,0,0
2021-08-09 05:30:00,0,0,0
2021-08-09 05:45:00,0,0,0
2021-08-09 06:00:00,0,0,0
2021-08-09 06:15:00,0,0,0
2021-08-09 06:30:00,0,0,0
2021-08-09 06:45:00,-0.00023193724107975489,0,0
2021-08-09 07:00:00,-0.00022424845229211676,0,0
2021-08-09 07:15:00,-0.00020960625649220355,0,0
2021-08-09 07:30:00,-0.00021473153036416504,0,0
2021-08-09 07:45:00,-0.00022834555940498547,0,0
2021-08-09 08:00:00,-0.0002514067438739581,0,0
2021-08-09 08:15:00,-0.00027833608505194174,0,0
2021-08-09 08:30:00,-0.000284217066487083,0,0
2021-08-09 08:45:00,-0.0002855059600161969,-0.0002453705438958228,-4.013541612037406e-05
2021-08-09 09:00:00,-0.0002870114354590475,-0.0002536987222084678,-3.3312713250579714e-05
2021-08-09 09:15:00,-0.00027829907080077765,-0.0002586187919269298,-1.9680278873847844e-05
2021-08-09 09:30:00,-0.0002495552059454398,-0.00025680607473063183,7.250868785192049e-06
2021-08-09 09:45:00,-0.00024676664851239205,-0.00025479818948698387,8.031540974591815e-06
2021-08-09 10:00:00,-0.00023841929840373588,-0.00025152241127033426,1.3103112866598378e-05
2021-08-09 10:15:00,-0.00022246146799491384,-0.0002457102226152502,2.3248754620336343e-05
2021-08-09 10:30:00,-0.0001990476525122742,-0.000236377708594655,3.7330056082380815e-05
2021-08-09 10:45:00,-0.00016120437653570352,-0.00022134304218286472,6.0138665647161197e-05
2021-08-09 11:00:00,-0.0001456724152830019,-0.00020620891680289216,6.0536501519890264e-05
2021-08-09 11:15:00,-9.841891384247681e-05,-0.00018465091621080911,8.623200236833231e-05
2021-08-09 11:30:00,-4.424116868147199e-05,-0.0001565689667049417,0.00011232779802346972
2021-08-09 11:45:00,-2.52216684136497e-05,-0.00013029950704668332,0.00010507783863303362
2021-08-09 12:00:00,1.1585309498907126e-05,-0.00010192254373756523,0.00011350785323647236
2021-08-09 12:15:00,4.595447670105446e-05,-7.23471396498413e-05,0.00011830161635089575
2021-08-09 12:30:00,5.241516921895839e-05,-4.739467787608136e-05,9.980984709503975e-05
2021-08-09 12:45:00,6.262323122907532e-05,-2.5391096055050024e-05,8.801432728412534e-05
2021-08-09 13:00:00,0.00010843726008338828,1.3745751726376342e-06,0.00010706268491075065
2021-08-09 13:15:00,0.00014636634525319603,3.0372929188749313e-05,0.00011599341606444672
2021-08-09 13:30:00,0.00017154307756284126,5.86069588635677e-05,0.00011293611869927356
2021-08-09 13:45:00,0.00017152435697850854,8.119043848655588e-05,9.033391849195267e-05
2021-08-09 14:00:00,0.00017250656327877367,9.945366344499944e-05,7.305289983377423e-05
2021-08-09 14:15:00,0.00016197687803506944,0.00011195830636301344,5.0018571672056e-05
2021-08-09 14:30:00,0.00016735701776680878,0.0001230380486437725,4.4318969123036274e-05
2021-08-09 14:45:00,0.00018841146322311209,0.00013611273155964042,5.2298731663471664e-05
2021-08-09 15:00:00,0.00018959757902821395,0.00014680970105335515,4.27878779748588e-05
2021-08-09 15:15:00,0.00018908416458460198,0.0001552645937596045,3.381957082499747e-05
2021-08-09 15:30:00,0.00018740460438422535,0.0001616925958845287,2.571200849969666e-05
2021-08-09 15:45:00,0.00016608409876416041,0.00016257089646045503,3.513202303705382e-06
2021-08-09 16:00:00,0.0001457323168821828,0.00015920318054480059,-1.3470863662617787e-05
2021-08-09 16:15:00,0.0001231805525372387,0.00015199865494328822,-2.8818102406049523e-05
2021-08-09 16:30:00,0.00012413081634063405,0.00014642508722275739,-2.2294270882123332e-05
2021-08-09 16:45:00,0.00011045787981804611,0.00013923164574181513,-2.877376592376902e-05
2021-08-09 17:00:00,0.00010686275428248293,0.0001327578674499487,-2.5895113167465777e-05
2021-08-09 17:15:00,0.00010490232539527022,0.000127186759039013,-2.2284433643742787e-05
2021-08-09 17:30:00,0.000131048401618733,0.00012795908755495702,3.089314063775973e-06
2021-08-09 17:45:00,0.0001776409296955911,0.00013789545598308383,3.9745473712507256e-05
2021-08-09 18:00:00,0.0001900237829786655,0.00014832112138220017,4.1702661596465344e-05
2021-08-09 18:15:00,0.00018535480725481723,0.00015572785855672358,2.9626948698093653e-05
2021-08-09 18:30:00,0.00018189786265915275,0.00016096185937720942,2.093600328194334e-05
2021-08-09 18:45:00,0.00019091708996842038,0.00016695290549545162,2.3964184472968764e-05
2021-08-09 19:00:00,0.00018408124709143325,0.00017037857381464795,1.3702673276785301e-05
2021-08-09 19:15:00,0.00018189269501298067,0.0001726813980543145,9.21129695866617e-06
2021-08-09 19:30:00,0.0001634271035553525,0.0001708305391545221,-7.403435599169592e-06
2021-08-09 19:45:00,0.00014223124582010693,0.00016511068048763908,-2.2879434667532147e-05
2021-08-09 20:00:00,0.00012855094422332958,0.00015779873323477718,-2.9247789011447608e-05
2021-08-09 20:15:00,0.00011596893078739956,0.00014943277274530168,-3.346384195790212e-05
2021-08-09 20:30:00,0.00010885802076451845,0.00014131782234914504,-3.245980158462659e-05
2021-08-09 20:45:00,9.263314230482933e-05,0.00013158088634028191,-3.8947744035452585e-05
2021-08-09 21:00:00,8.29340706648557e-05,0.00012185152320519668,-3.891745254034098e-05
2021-08-09 21:15:00,6.792842683678302e-05,0.00011106690393151395,-4.313847709473093e-05
2021-08-09 21:30:00,5.4520262278187626e-05,9.975757560084868e-05,-4.523731332266106e-05
2021-08-09 21:45:00,4.650508762654715e-05,8.910707800598839e-05,-4.260199037944124e-05
2021-08-09 22:00:00,1.057861076127209e-05,7.340138455704513e-05,-6.282277379577304e-05
2021-08-09 22:15:00,-1.8327644455237713e-05,5.5055578754588566e-05,-7.338322320982627e-05
2021-08-09 22:30:00,-6.374049233762169e-05,3.129636453614652e-05,-9.50368568737682e-05
2021-08-09 22:45:00,-0.00011957402851514587,1.1222859258880453e-06,-0.00012069631444103392
2021-08-09 23:00:00,-0.00014879319186203444,-2.886080963169645e-05,-0.00011993238223033799
2021-08-09 23:15:00,-0.00017262252848010418,-5.7613153401378e-05,-0.00011500937507872617
2021-08-09 23:30:00,-0.00018725095428080707,-8.354071357726382e-05,-0.00010371024070354325
2021-08-09 23:45:00,-0.00019163218869126808,-0.00010515900860006467,-8.647318009120341e-05
2021-08-10 00:00:00,-0.00019136526763176287,-0.00012240026040640433,-6.896500722535854e-05
2021-08-10 00:15:00,-0.00018291266261212524,-0.0001345027408475485,-4.840992176457674e-05
2021-08-10 00:30:00,-0.00016279836907695522,-0.00014016186649342985,-2.2636502583525366e-05
2021-08-10 00:45:00,-0.00014231226024936927,-0.00014059194524461774,-1.7203150047515351e-06
2021-08-10 01:00:00,-9.839508370068639e-05,-0.00013215257293583147,3.375748923514508e-05
2021-08-10 01:15:00,-7.435290738817824e-05,-0.00012059263982630084,4.6239732438122606e-05
2021-08-10 01:30:00,-5.6982508198744064e-05,-0.00010787061350078949,5.088810530204542e-05
2021-08-10 01:45:00,-3.195461700247759e-05,-9.268741420112712e-05,6.073279719864953e-05
2021-08-10 02:00:00,-2.083641601392794e-05,-7.83172145636873e-05,5.7480798549759357e-05
2021-08-10 02:15:00,-6.862481723601821e-06,-6.402626799567021e-05,5.716378627206839e-05
2021-08-10 02:30:00,-2.2160824012101843e-05,-5.565317919895654e-05,3.34923551868547e-05
2021-08-10 02:45:00,-3.509074091606612e-05,-5.154069154237846e-05,1.644995062631234e-05
2021-08-10 03:00:00,-5.2399470787639624e-05,-5.1712447391430694e-05,-6.870233962089293e-07
2021-08-10 03:15:00,-6.169378084898425e-05,-5.370871408294141e-05,-7.985066766042834e-06
2021-08-10 03:30:00,-5.638654479050986e-05,-5.424428022445511e-05,-2.142264566054754e-06
2021-08-10 03:45:00,-4.9033165601786166e-05,-5.320205729992132e-05,4.168891698135155e-06
2021-08-10 04:00:00,-4.869609454963286e-05,-5.230086474986363e-05,3.60477020023077e-06
2021-08-10 04:15:00,-3.7426923844383064e-05,-4.932607656876752e-05,1.1899152724384458e-05
2021-08-10 04:30:00,-3.072399039903695e-05,-4.560565933482141e-05,1.4881668935784459e-05
2021-08-10 04:45:00,-1.67462050455619e-05,-3.983376847696951e-05,2.3087563431407606e-05
2021-08-10 05:00:00,-8.954536121388856e-06,-3.365792200585338e-05,2.4703385884464523e-05
2021-08-10 05:15:00,-3.226538689379832e-06,-2.757164534255867e-05,2.4345106653178837e-05
2021-08-10 05:30:00,5.844986805100816e-06,-2.0888318913026772e-05,2.6733305718127588e-05
2021-08-10 05:45:00,9.37572630299588e-06,-1.4835509869822243e-05,2.421123617281812e-05
2021-08-10 06:00:00,1.418897546741349e-05,-9.030612802375098e-06,2.3219588269788587e-05
2021-08-10 06:15:00,2.6254182357271505e-05,-1.9736537704457766e-06,2.822783612771728e-05
2021-08-10 06:30:00,2.7111490520467796e-05,3.8433750877369384e-06,2.3268115432730857e-05
2021-08-10 06:45:00,2.707534745151341e-05,8.489769560492233e-06,1.8585577891021175e-05
2021-08-10 07:00:00,3.9900872426543166e-05,1.477199013370242e-05,2.5128882292840744e-05
2021-08-10 07:15:00,5.5318011681307344e-05,2.2881194443223404e-05,3.243681723808394e-05
2021-08-10 07:30:00,5.527938275920463e-05,2.936083210641965e-05,2.591855065278498e-05
2021-08-10 07:45:00,5.773026456941388e-05,3.5034718599018496e-05,2.2695545970395384e-05
2021-08-10 08:00:00,6.505525442562776e-05,4.103882576434035e-05,2.401642866128741e-05
2021-08-10 08:15:00,7.499870511723516e-05,4.7830801634919315e-05,2.716790348231585e-05
2021-08-10 08:30:00,7.962108152669012e-05,5.418885761327348e-05,2.543222391341664e-05
2021-08-10 08:45:00,9.15090279269698e-05,6.165289167601274e-05,2.9856136250957057e-05
2021-08-10 09:00:00,9.347811381976712e-05,6.801793610476362e-05,2.5460177715003497e-05
2021-08-10 09:15:00,0.00010368776101417343,7.515190108664559e-05,2.8535859927527837e-05
2021-08-10 09:30:00,0.00012191255285008695,8.450403143933387e-05,3.740852141075308e-05
2021-08-10 09:45:00,0.00010664237491127271,8.893170013372165e-05,1.771067477755106e-05
2021-08-10 10:00:00,9.78507269545209e-05,9.07155054978815e-05,7.135221456639409e-06
2021-08-10 10:15:00,9.670797454447433e-05,9.191399930720007e-05,4.7939752372742574e-06
2021-08-10 10:30:00,8.721199502613464e-05,9.097359845098699e-05,-3.761603424852356e-06
2021-08-10 10:45:00,9.050475187043217e-05,9.087982913487603e-05,-3.750772644438619e-07
2021-08-10 11:00:00,0.0001036998775818393,9.344383882426868e-05,1.0256038757570617e-05
2021-08-10 11:15:00,0.0001056766868704484,9.589040843350462e-05,9.78627843694378e-06
2021-08-10 11:30:00,0.00010019781452540177,9.675188965188406e-05,3.4459248735177152e-06
2021-08-10 11:45:00,8.447279699552723e-05,9.42960711206127e-05,-9.823274125085469e-06
2021-08-10 12:00:00,7.11102015291537e-05,8.96588972023209e-05,-1.8548695673167197e-05
2021-08-10 12:15:00,5.5443094522406033e-05,8.281573666633794e-05,-2.737264214393191e-05
2021-08-10 12:30:00,6.34367503487554e-05,7.893993940282144e-05,-1.550318905406604e-05
2021-08-10 12:45:00,7.902794223152432e-05,7.895753996856202e-05,7.040226296229734e-08
2021-08-10 13:00:00,0.00010430277413703282,8.402658680225618e-05,2.0276187334776632e-05
2021-08-10 13:15:00,0.00013934940569677867,9.509115058116069e-05,4.4258255115617984e-05
2021-08-10 13:30:00,0.00014838765656897956,0.00010575045177872448,4.2637204790255085e-05
2021-08-10 13:45:00,0.00014947018751934604,0.00011449439892684881,3.4975788592497234e-05
2021-08-10 14:00:00,0.00015842692615544718,0.0001232809043725685,3.5146021782878675e-05
2021-08-10 14:15:00,0.000158932326213293,0.00013041118874071342,2.852113747257959e-05
2021-08-10 14:30:00,0.0001742692370710064,0.00013918279840677202,3.508643866423437e-05
2021-08-10 14:45:00,0.00019395178276213065,0.00015013659527784377,4.3815187484286884e-05
2021-08-10 15:00:00,0.0002204842412636132,0.00016420612447499766,5.6278116788615554e-05
2021-08-10 15:15:00,0.00024713520742557227,0.00018079194106511258,6.634326636045969e-05
2021-08-10 15:30:00,0.00025482886800916316,0.0001955993264539227,5.9229541555240456e-05
2021-08-10 15:45:00,0.0002633771335033147,0.0002091548878638011,5.4222245639513596e-05
2021-08-10 16:00:00,0.0002607710493918586,0.00021947812016941262,4.129292922244596e-05
2021-08-10 16:15:00,0.00024857800857074064,0.00022529809784967823,2.3279910721062412e-05
2021-08-10 16:30:00,0.00022717801352772904,0.00022567408098528842,1.503932542440623e-06
2021-08-10 16:45:00,0.00019793097452221187,0.0002201254596926731,-2.2194485170461245e-05
2021-08-10 17:00:00,0.00018855587587661427,0.00021381154292946135,-2.5255667052847083e-05
2021-08-10 17:15:00,0.00016254910769698816,0.00020355905588296673,-4.100994818597857e-05
2021-08-10 17:30:00,0.00014622415704118596,0.0001920920761146106,-4.5867919073424625e-05
2021-08-10 17:45:00,0.00012985305146138992,0.00017964427118396647,-4.9791219722576544e-05
2021-08-10 18:00:00,0.00010964374593350201,0.0001656441661338736,-5.6000420200371574e-05
2021-08-10 18:15:00,5.347242398505425e-05,0.00014320981770410974,-8.973739371905548e-05
2021-08-10 18:30:00,1.0449622754968302e-05,0.00011665777871428146,-0.00010620815595931316
2021-08-10 18:45:00,-2.1382482171788952e-05,8.904972653706739e-05,-0.00011043220870885634
2021-08-10 19:00:00,-4.041467284464362e-05,6.315684666072519e-05,-0.0001035715195053688
2021-08-10 19:15:00,-4.94408658465173e-05,4.0637304159276694e-05,-9.0078170005794e-05
2021-08-10 19:30:00,-6.209169095230949e-05,2.0091505136959457e-05,-8.218319608926895e-05
2021-08-10 19:45:00,-6.124442639471317e-05,3.824318830624931e-06,-6.50687452253381e-05
2021-08-10 20:00:00,-5.54154364832693e-05,-8.023632232153916e-06,-4.739180425111538e-05
2021-08-10 20:15:00,-5.580109468387995e-05,-1.7579124722499122e-05,-3.8221969961380826e-05
2021-08-10 20:30:00,-5.514825031474602e-05,-2.5092949840948502e-05,-3.0055300473797515e-05
2021-08-10 20:45:00,-3.023621270001331e-05,-2.6121602412761462e-05,-4.1146102872518476e-06
2021-08-10 21:00:00,-1.9228363142026472e-05,-2.4742954558614465e-05,5.514591416587993e-06
2021-08-10 21:15:00,-1.564981020467371e-05,-2.2924325687826317e-05,7.274515483152608e-06
2021-08-10 21:30:00,-3.4939660491367652e-06,-1.903825376008841e-05,1.5544287710951643e-05
2021-08-10 21:45:00,1.2451427133103321e-05,-1.2740317581450063e-05,2.5191744714553384e-05
2021-08-10 22:00:00,2.0095807237330288e-05,-6.173092617693993e-06,2.6268899855024282e-05
2021-08-10 22:15:00,2.9126637151044577e-05,8.868533360537206e-07,2.8239783814990857e-05
2021-08-10 22:30:00,4.177328010736281e-05,9.064138690315539e-06,3.270914141704727e-05
2021-08-10 22:45:00,5.447622510040828e-05,1.8146555972334088e-05,3.6329669128074194e-05
2021-08-10 23:00:00,5.8144045535404865e-05,2.6146053884948244e-05,3.199799165045662e-05
2021-08-10 23:15:00,7.646904393278364e-05,3.621065189451533e-05,4.025839203826831e-05
2021-08-10 23:30:00,0.00010311718747565979,4.959195901074422e-05,5.3525228464915565e-05
2021-08-10 23:45:00,0.00011436439751665028,6.254644671192545e-05,5.181795080472484e-05
2021-08-11 00:00:00,0.00013830606467107875,7.769837030375611e-05,6.0607694367322644e-05
2021-08-11 00:15:00,0.00014527681740265919,9.121405972353674e-05,5.4062757679122444e-05
